n,p,q,degree,noise_sigma,itr,u_error,v_error,corr_error,freq_error,method
1000,100,100,10,0.75,9,0.321506608954853,0.089510045756577,0.0580258800487438,1.81590175658309,SCCA
1000,100,100,10,0.75,10,0.38341570749916,0.255791592464749,0.0742438070230318,1.96137464543403,SCCA
1000,100,100,10,0.75,11,0.383425064850275,0.764660637834179,0.171103920307499,0.8336088978267,SCCA
1000,100,100,10,0.75,12,0.808973293079513,1,0.124517142500638,2.84915805702722,SCCA
1000,100,100,10,0.75,13,0.906355002300633,1,0.249276716152375,3.0473638937241,SCCA
1000,100,100,10,0.75,14,0.217402203510288,0.764660637834179,0.014264107782695,1.14369804634987,SCCA
1000,100,100,10,0.75,15,0.673188726973834,0.287527988676889,0.197224593546626,3.4349862003345,SCCA
1000,100,100,10,0.75,16,0.927472868225208,1,0.139282032731444,2.99783729720555,SCCA
1000,100,100,10,0.75,17,0.793000768991115,1,0.207182357433697,5.51566207257914,SCCA
1000,100,100,10,0.75,18,0.745281909273318,1,0.319645330707083,3.83918615589212,SCCA
1000,100,100,10,0.75,19,0.358433874079176,0.255791592464749,0.122381302746496,2.26209616664529,SCCA
1000,100,100,10,0.75,20,0.844076084905997,0.704903003862142,0.305001566348978,2.25076488007136,SCCA
1000,100,100,10,0.75,21,0.703052409376696,0.255791592464749,0.16989653077174,0.402093134592324,SCCA
1000,100,100,10,0.75,22,0.310021909064083,0.242987775915193,0.0328923995988576,2.15567983613004,SCCA
1000,100,100,10,0.75,23,0.966509519844338,0.816409986641563,0.3686461487127,1.32745872563887,SCCA
1000,100,100,10,0.75,24,0.238872271324092,0.0850752259128483,0.0309341463145284,1.16511218532821,SCCA
1000,100,100,10,0.75,25,0.536769529921305,0.174873388784936,0.126736821118253,0.26985809687599,SCCA
1000,100,100,25,0.5,1,0.881760192619544,1,0.43906553618558,2.15289451343285,SCCA
1000,100,100,25,0.5,2,0.0817409527504124,0.0753531366501679,0.0152357789273752,0.132816336761641,SCCA
1000,100,100,25,0.5,3,0.196036459799006,0.764660637834179,0.085670504748094,0.330626376274583,SCCA
1000,100,100,25,0.5,4,0.122104831825271,0.0808339705159576,0.0444311688671434,0.486332072490504,SCCA
1000,100,100,25,0.5,5,0.117949018472013,0.0820308888422115,0.0289219012659284,0.245660031197164,SCCA
1000,100,100,25,0.5,6,0.105475474029701,0.0810779106306889,0.0227039655054265,0.402800319344891,SCCA
1000,100,100,25,0.5,7,0.11768243936268,0.00719338339097442,-0.00149820061573874,0.293207167917811,SCCA
1000,100,100,25,0.5,8,0.167401754569346,0.0267824811362117,0.0434037985592564,0.247318649447351,SCCA
1000,100,100,25,0.5,9,0.0923669238792516,0.0759515167475355,0.014032096628526,0.404181995552124,SCCA
1000,100,100,25,0.5,10,0.873130687163743,1,0.43427641238266,2.08801248035931,SCCA
1000,100,100,25,0.5,11,0.0843797266472732,0.0106248627372248,0.0143963513943667,0.312773678693738,SCCA
1000,100,100,25,0.5,12,0.117569240611466,0.023161015129919,0.0606563383095194,0.380211079664399,SCCA
1000,100,100,25,0.5,13,0.11198235119643,0.00800056412320393,0.0121605343975768,0.12364171438405,SCCA
1000,100,100,25,0.5,14,0.0808222485516792,0.255791592464749,0.0745344149260615,0.33268901334452,SCCA
1000,100,100,25,0.5,15,0.0821654327054047,0.0466401595848658,0.0634750722022141,0.267528028173825,SCCA
1000,100,100,25,0.5,16,0.0700750228297515,0.0160346173325947,-0.00129348713116706,0.232838416643314,SCCA
1000,100,100,25,0.5,17,0.0944488831122212,0.255791592464749,0.0523029222151059,0.387378966303602,SCCA
1000,100,100,25,0.5,18,0.13216304177653,0.255791592464749,0.041412641993249,0.556385853407078,SCCA
1000,100,100,25,0.5,19,0.123040038964861,0.0174748750941265,0.0562056694292483,0.604952117429192,SCCA
1000,100,100,25,0.5,20,0.121649503992382,0.0797641572985415,0.0530323499626055,0.312523402585328,SCCA
1000,100,100,25,0.5,21,0.144664069233169,0.255791592464749,0.0309300528670317,0.505329110289213,SCCA
1000,100,100,25,0.5,22,0.120266886433154,0.0117627050018911,0.0490831738662413,0.462547651758624,SCCA
1000,100,100,25,0.5,23,0.0924718493002185,0.255791592464749,0.145227502655601,0.224373696771034,SCCA
1000,100,100,25,0.5,24,0.905052776828691,1,0.403254790452417,1.70723807828042,SCCA
1000,100,100,25,0.5,25,0.400820545516322,0.0833160362999474,0.07638125606072,0.565019897169425,SCCA
1000,100,100,25,0.75,1,0.866284346784338,1,0.199421723636692,1.72187165811156,SCCA
1000,100,100,25,0.75,2,0.917244288355775,1,0.243564935850518,1.06361195806543,SCCA
1000,100,100,25,0.75,3,0.549294754872806,0.0996066456828631,0.106149042064123,0.786038558527566,SCCA
1000,100,100,25,0.75,4,0.96702841438945,1,0.239526097245858,2.88109642036753,SCCA
1000,100,100,25,0.75,5,0.224444716026669,0.103638894796955,0.0536473626708765,0.657439398742413,SCCA
1000,100,100,25,0.75,6,0.317060981723212,0.764660637834179,0.0584364008339392,0.552103015440009,SCCA
1000,100,100,25,0.75,7,0.958358191822849,1,0.261618642803897,2.36885559833999,SCCA
1000,100,100,25,0.75,8,0.922673983738887,1,0.197714489060692,2.18859980420221,SCCA
1000,100,100,25,0.75,9,0.867084201248164,1,0.273890771810222,1.85582932896952,SCCA
1000,100,100,25,0.75,10,0.895963638384553,1,0.325027965342198,1.76393434932696,SCCA
1000,100,100,25,0.75,11,0.938992840064045,1,0.303929404763992,2.12008657931232,SCCA
1000,100,100,25,0.75,12,0.504909576613613,0.255791592464749,0.135809565658036,0.12071635193653,SCCA
1000,100,100,25,0.75,13,0.465691745324338,0.0932149310440356,0.0500589423407272,1.06191598567606,SCCA
1000,100,100,25,0.75,14,0.271511897987939,0.0257770480805476,0.0560521791078289,0.644395239850485,SCCA
1000,100,100,25,0.75,15,0.896344851758626,1,0.245353595973926,1.57537934730154,SCCA
1000,100,100,25,0.75,16,0.748484236209363,0.255791592464749,0.139973094431503,1.19467672442055,SCCA
1000,100,100,25,0.75,17,0.265206715678311,0.0908759983583054,-0.0182263410254611,0.709161448346685,SCCA
1000,100,100,25,0.75,18,0.948899255163799,0.756420622671147,0.258313541877813,2.59746066209548,SCCA
1000,100,100,25,0.75,19,0.699013372932162,1,0.3378055873527,1.16458303566382,SCCA
1000,100,100,25,0.75,20,0.666099375738975,0.128221579341681,0.258830461156736,1.84624133895525,SCCA
